DOY_2016,SoilM,SoilT,Rh,CH4,N2O,NH4,NO3
158,25.61877844,12.87097222,90.29948583,-0.0218044,-0.061372443,20.32133627,12.20840575
159,26.9260282,13.13171296,81.02227249,-0.0196093,0.043855091,20.32133627,12.20840575
160,26.46878663,11.67575758,71.04989061,0.00405661,-0.285018285,20.32133627,12.20840575
174,22.17411903,12.52656566,149.9470978,-0.0684857,0.312722908,20.32133627,12.20840575
175,21.83301116,12.60422222,147.177252,-0.0786994,0.729421264,20.32133627,12.20840575
176,21.35007089,13.00148148,144.8819409,-0.067807,0.416737472,20.32133627,12.20840575
177,20.76736509,13.60262626,152.9593248,-0.0701551,0.630824088,20.32133627,12.20840575
178,20.13387184,14.03858586,143.9619681,-0.0743854,0.196134613,20.32133627,12.20840575
179,19.55740315,14.42509259,152.2539982,-0.0703461,-0.059640094,20.32133627,12.20840575
180,19.24883659,14.48388889,184.7455859,-0.0843543,-0.12368888,20.32133627,12.20840575
181,19.15502307,14.59851852,207.51087,-0.0898881,-0.422961564,20.32133627,12.20840575
182,18.60448478,14.55046296,176.5165914,-0.0843962,-0.521588344,20.32133627,12.20840575
183,21.89698648,14.9987963,206.7351537,-0.0801622,-0.357384086,20.32133627,12.20840575
184,21.61535744,13.88564815,173.0791264,-0.0794998,-0.43583096,20.32133627,12.20840575
185,21.058462,14.37287037,175.9065588,-0.0761538,-0.188548416,20.32133627,12.20840575
186,20.41380078,15.05833333,182.5112672,-0.0802494,-0.337682813,20.32133627,12.20840575
187,19.71553256,15.51888889,215.3515591,-0.0854942,-0.167394446,20.32133627,12.20840575
188,20.55035589,14.52962963,225.2929999,-0.0763407,-0.045847965,20.32133627,12.20840575
189,22.83865081,13.57564815,199.916912,-0.0631164,0.037698591,20.32133627,12.20840575
190,22.86257733,13.23490741,209.3142294,-0.0689755,-0.047827776,20.32133627,12.20840575
191,24.96430011,13.33342593,215.4186213,-0.0616056,0.017241693,20.32133627,12.20840575
192,25.44395407,13.84638889,218.1584593,-0.0622516,0.3611083,20.32133627,12.20840575
193,24.92814893,14.88175926,230.6978907,-0.0633321,0.121922956,20.32133627,12.20840575
194,24.34693867,15.93694444,229.3217597,-0.0591465,-0.218875746,20.32133627,12.20840575
195,23.76668578,16.52666667,226.1457979,-0.0608202,-0.396557109,20.32133627,12.20840575
196,23.22984374,17.2037963,245.5769369,-0.0718267,0.11942913,20.32133627,12.20840575
197,22.57984607,16.96805556,230.6580758,-0.0794142,0.242530399,20.32133627,12.20840575
198,22.17341789,16.38388889,257.3903294,-0.0832428,-0.138612123,20.32133627,12.20840575
199,22.35438652,16.55157407,275.1226624,-0.0686544,-0.037256315,20.32133627,12.20840575
207,17.69149848,17.70746032,225.2058187,-0.1016811,-0.266079658,20.32133627,12.20840575
208,16.87329874,17.3612037,218.9763573,-0.0982517,-1.044761406,20.32133627,12.20840575
209,16.60635604,17.41851852,252.8467859,-0.0963337,-0.712822007,20.32133627,12.20840575
210,19.1031603,17.39675926,306.0437239,-0.0837267,-1.101347766,20.32133627,12.20840575
211,18.85206107,16.92138889,272.9162959,-0.0920021,-0.473395639,20.32133627,12.20840575
212,18.17678037,16.28481481,238.4415734,-0.0879573,-0.718982482,20.32133627,12.20840575
213,17.42163826,16.16010101,218.1128396,-0.0911737,-0.594696491,20.32133627,12.20840575
214,16.66468485,16.32166667,221.0277596,-0.0902443,-0.878934011,20.32133627,12.20840575
215,15.78012396,16.40191919,209.2132474,-0.0971347,-0.941998538,20.32133627,12.20840575
216,14.8388833,16.60527778,209.0810452,-0.0956312,-0.790137593,20.32133627,12.20840575
217,13.85984578,16.86592593,205.328555,-0.1000763,-0.339296523,20.32133627,12.20840575
218,15.33757593,17.25990741,248.6819861,-0.0999327,-0.907513555,20.32133627,12.20840575
219,18.06857444,16.70824074,250.3557757,-0.0993134,0.037118739,20.32133627,12.20840575
220,17.24484641,16.12444444,212.1774032,-0.0922509,-0.611262541,20.32133627,12.20840575
221,16.24325411,15.38564815,189.0692692,-0.0892025,-0.543555496,20.32133627,12.20840575
222,15.31889648,15.60064815,199.4965496,-0.09382,-0.445807435,20.32133627,12.20840575
223,15.57794852,17.3937037,270.9038432,-0.0905761,-1.083736283,20.32133627,12.20840575
224,16.84856348,16.81611111,278.06942,-0.0950729,-0.40245223,20.32133627,12.20840575
225,17.21858356,16.165,286.5610767,-0.0917787,0.267620115,20.32133627,12.20840575
228,20.68837733,17.00833333,310.665481,-0.0607879,0.024371989,20.32133627,12.20840575
229,22.85349685,17.00666667,303.1095499,-0.0611226,-0.207328609,20.32133627,12.20840575
230,23.04355685,16.86907407,304.985311,-0.0596978,-0.369083085,20.32133627,12.20840575
231,22.54987911,16.78092593,275.9485619,-0.0630901,-0.62633613,20.32133627,12.20840575
232,21.96376596,16.19166667,254.8223139,-0.0662697,-0.226082983,20.32133627,12.20840575
233,21.35163211,16.56490741,265.6482326,-0.0659741,-0.590707903,20.32133627,12.20840575
234,22.84939752,16.75490741,273.0658472,-0.0607712,-0.412562808,20.32133627,12.20840575
235,23.58982763,15.76759259,246.3988608,-0.0583918,-0.181598666,20.32133627,12.20840575
236,23.07458144,16.45953704,275.1339431,-0.0655185,-0.486457133,20.32133627,12.20840575
237,22.51322881,17.2862963,282.3442097,-0.0750286,-0.412755771,20.32133627,12.20840575
238,21.97497733,17.88092593,294.3342054,-0.0726039,-0.476024663,20.32133627,12.20840575
239,21.29406763,17.26314815,252.4365426,-0.0728236,-0.205242501,20.32133627,12.20840575
240,20.59202693,16.33398148,231.5947801,-0.0702671,-0.342628808,20.32133627,12.20840575
241,19.90386019,16.72185185,237.2291049,-0.0726822,-0.623991475,20.32133627,12.20840575
242,19.02596996,16.22222222,229.0461433,-0.083124,-0.410783051,20.32133627,12.20840575
243,18.67592404,16.42925926,286.8279581,-0.087419,-0.293975919,20.32133627,12.20840575
244,18.25824033,16.92009259,293.8815071,-0.0883837,-0.557369458,20.32133627,12.20840575
245,17.46227037,16.00425926,241.3427552,-0.0871728,-0.323635347,20.32133627,12.20840575
246,16.64012193,15.14805556,216.1714362,-0.0948649,-0.605875418,20.32133627,12.20840575
247,15.70256185,15.09518519,207.2123871,-0.0902404,-0.747872179,20.32133627,12.20840575
248,14.77182515,15.115,200.9287893,-0.0893396,-0.376463425,20.32133627,12.20840575
249,14.02833456,15.86638889,239.8973517,-0.0950706,-0.697006483,20.32133627,12.20840575
250,13.42662507,17.01962963,254.0111832,-0.0948006,-0.287289502,20.32133627,12.20840575
251,12.81693256,17.28916667,245.3244564,-0.0888253,-0.512167903,20.32133627,12.20840575
252,12.25362222,17.9362037,280.6513011,-0.0994989,-0.612223645,20.32133627,12.20840575
253,11.49608,17.10694444,244.7801535,-0.1020182,-0.680346906,20.32133627,12.20840575
254,11.93734141,16.72407407,253.0975098,-0.1022994,-0.555634528,20.32133627,12.20840575
255,12.83831596,14.96583333,228.1080862,-0.0995068,-0.443663074,20.32133627,12.20840575
256,12.20390067,14.99148148,222.390743,-0.1044211,-0.557963017,20.32133627,12.20840575
257,11.79505259,15.01027778,229.8105539,-0.0967163,-0.037023552,20.32133627,12.20840575
258,11.85835626,13.72148148,209.2470555,-0.0935414,0.202375256,20.32133627,12.20840575
259,11.382078,13.01824074,198.1271335,-0.0990094,-0.258164502,20.32133627,12.20840575
260,11.02652633,13.40527778,202.6536142,-0.1027148,1.68318814,20.32133627,12.20840575
270,14.68939013,12.09066667,220.1018717,-0.0949099,-0.224845734,20.32133627,12.20840575
271,14.34763548,12.0175,177.7108876,-0.0885457,-0.40138351,20.32133627,12.20840575
272,13.66852019,11.4487963,157.5139631,-0.0901216,-0.581346848,20.32133627,12.20840575
273,12.97300404,10.94462963,149.0083476,-0.0922422,-0.396026982,20.32133627,12.20840575
274,12.33731941,11.64907407,168.9391766,-0.0971624,-0.38915164,20.32133627,12.20840575
275,11.85372619,12.26240741,191.2341498,-0.0997839,-0.737033027,20.32133627,12.20840575
276,11.55833452,12.41703704,185.8347372,-0.0978881,0.050797469,20.32133627,12.20840575
280,9.404830519,12.10907407,157.2537359,-0.1026673,0.07239763,20.32133627,12.20840575
281,8.983224963,12.16046296,162.2639805,-0.1037647,-0.202017008,20.32133627,12.20840575
282,9.203100259,12.14296296,226.9837076,-0.1292971,-0.009871702,20.32133627,12.20840575
283,12.65701644,10.78296296,231.6035078,-0.108742,1.200326631,20.32133627,12.20840575
288,10.53309133,8.63712963,110.2549847,-0.0884808,-0.312207253,20.32133627,12.20840575
289,10.22941837,9.163703704,124.2580698,-0.0983405,-0.265105386,20.32133627,12.20840575
290,9.906422148,10.66990741,132.3005251,-0.0876194,-0.340915802,20.32133627,12.20840575
291,9.542315333,10.39972222,122.8929582,-0.1004206,-0.326327545,20.32133627,12.20840575
292,9.320637148,11.82768519,134.1711452,-0.0924822,-0.224871066,20.32133627,12.20840575
293,8.941852889,10.60916667,117.14386,-0.1040937,-0.366795967,20.32133627,12.20840575
294,9.834519259,11.41611111,144.0981345,-0.0837189,-0.22412816,20.32133627,12.20840575
295,20.77223578,14.18925926,227.648307,-0.072845,-0.514052711,20.32133627,12.20840575
296,22.56777804,11.52222222,154.5293903,-0.0691489,0.02497531,20.32133627,12.20840575
297,22.47693826,9.348518519,117.5197041,-0.0629982,-0.214649336,20.32133627,12.20840575
298,22.28452093,8.523518519,103.5889501,-0.0641414,-0.183920266,20.32133627,12.20840575
305,24.15727015,6.720157407,82.74231773,-0.0671679,-0.329380483,20.32133627,12.20840575
306,24.01157044,7.703564815,103.1767261,-0.0657009,0.054690276,20.32133627,12.20840575
307,24.37798185,8.305555556,110.2125771,-0.0653946,0.257818797,20.32133627,12.20840575
308,25.06672037,7.866092593,98.56448666,-0.0634004,0.043699338,20.32133627,12.20840575
309,24.883103,6.394175926,77.28254354,-0.0606143,-0.036432876,20.32133627,12.20840575
310,24.70625937,6.642138889,79.60560144,-0.0618137,-0.486991328,20.32133627,12.20840575
311,24.51568778,6.248166667,74.06453864,-0.0640414,-0.608665076,20.32133627,12.20840575
